公告,#genre#
直播源均来自网络，不得商用，仅供学习交流使用。,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
更新日期,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
2025-05-17,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
上海电信,#genre#
CCTV1,http://180.154.48.93:4022/rtp/239.45.3.145:5140
CCTV1,http://180.165.6.228:4022/rtp/239.45.3.145:5140
CCTV2,http://180.154.48.93:4022/rtp/239.45.0.1:5140
CCTV2,http://180.165.6.228:4022/rtp/239.45.0.1:5140
CCTV3,http://180.154.48.93:4022/rtp/239.45.1.68:5140
CCTV3,http://180.165.6.228:4022/rtp/239.45.1.68:5140
CCTV4,http://180.154.48.93:4022/rtp/239.45.0.2:5140
CCTV4,http://180.165.6.228:4022/rtp/239.45.0.2:5140
CCTV4K,http://180.154.48.93:4022/rtp/239.45.0.55:5140
CCTV4K,http://180.165.6.228:4022/rtp/239.45.0.55:5140
CCTV5,http://180.154.48.93:4022/rtp/239.45.1.69:5140
CCTV5,http://180.165.6.228:4022/rtp/239.45.1.69:5140
CCTV5+,http://180.154.48.93:4022/rtp/239.45.0.34:5140
CCTV5+,http://180.165.6.228:4022/rtp/239.45.0.34:5140
CCTV6,http://180.154.48.93:4022/rtp/239.45.1.70:5140
CCTV6,http://180.165.6.228:4022/rtp/239.45.1.70:5140
CCTV7,http://180.154.48.93:4022/rtp/239.45.3.56:5140
CCTV7,http://180.165.6.228:4022/rtp/239.45.3.56:5140
CCTV8,http://180.154.48.93:4022/rtp/239.45.1.71:5140
CCTV8,http://180.165.6.228:4022/rtp/239.45.1.71:5140
CCTV9,http://180.154.48.93:4022/rtp/239.45.3.4:5140
CCTV9,http://180.165.6.228:4022/rtp/239.45.3.4:5140
CCTV10,http://180.154.48.93:4022/rtp/239.45.3.8:5140
CCTV10,http://180.165.6.228:4022/rtp/239.45.3.8:5140
CCTV11,http://180.154.48.93:4022/rtp/239.45.0.18:5140
CCTV11,http://180.165.6.228:4022/rtp/239.45.0.18:5140
CCTV12,http://180.154.48.93:4022/rtp/239.45.3.10:5140
CCTV12,http://180.165.6.228:4022/rtp/239.45.3.10:5140
CCTV13,http://180.154.48.93:4022/rtp/239.45.0.19:5140
CCTV13,http://180.165.6.228:4022/rtp/239.45.0.19:5140
CCTV14,http://180.154.48.93:4022/rtp/239.45.3.23:5140
CCTV14,http://180.165.6.228:4022/rtp/239.45.3.23:5140
CCTV15,http://180.154.48.93:4022/rtp/239.45.0.20:5140
CCTV15,http://180.165.6.228:4022/rtp/239.45.0.20:5140
