980k  114.253.57.101:10000
979k  123.113.180.31:8000
977k  221.216.141.134:30002
955k  114.252.226.23:9876
932k  111.196.135.188:8686
883k  114.249.11.163:4022
832k  123.117.170.131:12345
810k  221.217.6.160:8888
784k  123.114.27.22:4000
763k  222.128.183.135:8888
703k  114.240.224.31:3000
699k  111.193.231.37:4022
616k  114.253.240.78:14000
602k  114.252.149.21:8890
533k  114.253.215.95:5400
527k  221.223.21.200:58888
485k  222.128.183.81:8888
421k  221.220.134.231:8012
413k  221.223.20.9:58888
403k  123.116.119.30:8012
399k  111.199.167.207:4022
379k  114.252.236.205:8000
306k  111.193.234.204:8888
259k  123.113.98.147:4022
257k  221.219.78.108:4000
253k  114.243.102.236:8888
252k  222.129.143.155:8888
244k  114.243.96.60:8888
243k  125.34.50.20:8890
230k  114.254.91.239:2222
229k  111.196.128.46:20000
210k  114.243.103.58:8888
201k  114.254.39.23:9008
131k  123.122.163.231:19999
113k  123.113.237.245:11111
