1287k  123.144.188.139:8004
985k  27.10.72.155:8009
983k  27.10.209.140:8002
975k  27.10.76.240:8009
819k  27.10.210.44:8001
813k  27.10.72.155:8004
790k  27.10.77.26:8002
757k  27.10.210.44:8004
753k  211.158.155.152:8002
712k  27.10.209.140:8004
623k  27.11.104.76:8002
615k  27.10.209.232:8002
528k  27.10.76.240:8002
505k  27.10.77.26:8006
475k  124.162.88.232:8005
463k  27.10.92.105:4022
432k  27.10.210.44:8002
408k  123.144.179.240:8001
400k  124.162.88.232:8004
399k  113.206.117.86:8001
383k  123.144.188.139:8005
376k  27.10.209.140:8007
357k  124.162.88.232:8001
342k  27.10.73.16:8003
325k  27.10.209.232:8001
309k  123.144.179.240:8002
306k  27.10.72.155:8007
303k  211.158.155.152:8007
256k  27.10.73.16:8008
253k  27.10.77.26:8007
252k  27.10.77.26:8004
252k  27.10.210.44:8005
250k  27.11.104.76:8008
250k  27.10.77.26:8005
249k  27.10.209.140:8008
248k  27.10.76.240:8001
248k  124.162.88.232:8002
247k  27.10.73.16:8006
247k  123.144.179.240:8005
244k  27.10.214.107:8001
244k  113.206.117.86:8002
243k  27.10.209.140:8005
242k  113.206.157.177:8002
241k  113.206.157.177:8001
241k  113.205.196.10:8012
228k  27.10.76.240:8008
228k  27.10.214.107:8008
227k  27.10.77.26:8009
227k  27.10.72.155:8002
225k  27.10.210.44:8008
225k  27.10.209.232:8008
225k  27.10.209.232:8004
224k  27.10.77.26:8008
224k  27.10.214.107:8002
224k  27.10.210.44:8009
222k  27.10.210.44:8007
222k  27.10.209.232:8007
221k  27.10.209.140:8001
189k  211.158.155.152:8009
188k  27.10.72.155:8003
168k  123.144.188.139:8002
138k  211.158.155.152:8004
135k  27.10.77.26:8001
101k  27.10.209.232:8005
