999k  113.101.118.56:8188
983k  14.145.225.183:8888
976k  119.131.26.82:9003
976k  113.109.250.178:9999
828k  14.112.86.85:4022
659k  219.128.36.215:8188
621k  125.92.114.122:6066
600k  14.117.233.184:9000
586k  14.154.168.84:4022
571k  125.90.252.72:4040
490k  113.111.90.154:8188
484k  14.212.176.100:8022
409k  61.145.208.25:9090
301k  14.121.146.213:554
281k  113.65.5.245:85
257k  183.236.43.98:4014
251k  113.88.167.46:8188
236k  113.88.166.162:8188
227k  113.89.245.222:4200
199k  116.17.140.250:9999
