1048k  42.237.182.216:4002
1036k  42.237.182.181:4002
1033k  42.237.182.61:4001
1033k  42.237.182.126:4002
853k  42.237.182.252:4002
850k  115.60.241.249:2000
797k  42.237.176.76:4002
768k  42.237.182.172:4002
686k  42.237.182.135:4002
675k  42.237.183.50:4002
620k  123.13.247.112:4002
615k  42.237.176.31:4002
611k  42.237.183.110:4002
606k  42.237.183.29:4001
591k  42.237.183.114:4002
580k  42.237.181.184:4001
485k  42.237.183.70:4002
455k  42.237.182.117:4002
313k  115.58.216.155:4000
293k  42.237.182.228:4002
281k  42.237.182.131:4002
272k  42.237.183.97:4002
169k  42.237.183.29:4002
147k  42.237.182.150:4002
120k  42.237.183.106:4002
