972k  119.98.172.132:4022
966k  27.19.6.227:9100
961k  58.50.152.211:4022
958k  119.98.133.175:8888
955k  27.28.194.48:4022
937k  111.170.104.194:9999
927k  59.174.170.50:4022
926k  116.209.92.79:4022
872k  59.174.99.121:8880
865k  27.17.233.195:3520
750k  219.139.27.192:7777
731k  171.83.2.220:5100
681k  171.83.141.54:8989
677k  111.175.28.41:8848
638k  119.100.33.58:8888
610k  27.16.213.67:4022
584k  27.18.7.57:8686
502k  221.232.104.62:8880
432k  119.98.133.51:5555
402k  27.19.118.132:4022
313k  116.208.21.71:8880
283k  119.101.65.39:8888
221k  27.24.7.253:18888
212k  111.175.30.248:8848
143k  111.170.246.89:8880
108k  119.98.39.237:8888
