1002k  121.238.98.51:8787
994k  49.77.40.37:8000
993k  121.232.159.212:8188
993k  114.233.64.70:4022
992k  121.239.80.254:8200
978k  58.216.161.68:8188
978k  218.91.68.195:8800
977k  117.88.22.69:4022
967k  121.235.158.13:8188
965k  121.234.134.39:8800
940k  121.232.178.50:8188
933k  114.221.3.225:8188
929k  121.226.21.142:55555
885k  114.233.242.66:4022
808k  180.124.66.91:3000
799k  114.222.251.115:4023
798k  117.60.104.237:5678
642k  114.222.251.122:4023
471k  58.219.17.113:8001
466k  117.86.104.209:8818
433k  114.233.189.167:8887
426k  180.124.66.118:3000
400k  121.237.1.129:8888
299k  114.226.141.54:4022
271k  117.90.54.188:8188
255k  114.222.251.70:4023
244k  117.62.126.247:5555
242k  121.232.17.113:8848
216k  49.65.176.61:8888
195k  121.232.159.246:8188
188k  121.226.124.73:9999
183k  117.86.104.207:8818
143k  180.105.81.20:4000
125k  49.82.95.245:7000
121k  117.86.50.46:7777
98k  180.120.123.245:8181
