990k  220.184.148.147:8888
976k  125.123.75.220:4022
976k  115.237.76.67:8888
976k  115.221.91.192:7777
975k  115.205.253.28:4022
974k  125.118.67.163:8118
974k  115.221.91.204:7777
967k  122.231.83.31:55555
915k  125.107.83.225:8888
855k  115.197.191.25:9999
834k  125.125.181.194:4000
718k  115.206.54.164:8888
678k  115.230.251.172:9999
626k  220.190.60.97:9999
536k  125.126.217.29:9999
379k  115.203.134.226:58888
309k  115.204.6.223:82
305k  183.133.106.4:8899
196k  122.236.109.154:7777
122k  125.120.180.64:8888
